Asset Number,Asset Description,Building,Floor,Department,Room,Condition,Status,Notes
TR1118*006437,"COMPUTER,MONITOR, HP, SN : CNC82609XF",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR1118*006420,"COMPUTER,MONITOR, HP, SN :1CR94604VD",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR118*003411,"COMPUTER,MONITOR, HP, SN :CNK3080QG5",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",NEW,Active,
TR118*007226,"COMPUTER,MONITOR, HP, SN 3CQ7492JSS",PHASE III,BASEMENT,TECHNICAL SERVICE DEPT,OFFICE 3,GOOD,Active,
TR118*000971,"Computer,Monitor, HP, SN. 3CQ8051P7F",PHASE I& II,GROUND,ADMN,102,Fair,Active,
TR118*006037,"COMPUTER,MONITOR, HP, SN: 3CQ2350R8W",MOI PHASE III,5 floor,DNS,"CUBIC 2,WARD 5B",GOOD,Active,
TR118*003423,"COMPUTER,MONITOR, HP, SN: 3CQ947168V",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",GOOD,Active,
TR118*003291,"COMPUTER,MONITOR, HP, SN: 42172CP6",MOI PHASE III,3 floor,DNS,"DNS OFFICE, NURSING MANAGERS",NEW,Active,
TR118*003290,"COMPUTER,MONITOR, HP, SN: 42173W3J",MOI PHASE III,3 floor,DNS,"DNS OFFICE, NURSING MANAGERS",NEW,Active,
TR1118*007506,"COMPUTER,MONITOR, HP, SN: 6CM4091VKQ",MOI PHASE III,6 floor,DCSS,"LEVEL 6, NHIF OFFICE SUBMISSION",GOOD,Active,
TR118*003417,"COMPUTER,MONITOR, HP, SN: CKN3060RVT ",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",NEW,Active,
TR118*003415,"COMPUTER,MONITOR, HP, SN: CN4149226G",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",NEW,Active,
TR118*003427,"COMPUTER,MONITOR, HP, SN: CNK3060RVC",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",NEW,Active,
TR1118*006422,"COMPUTER,MONITOR, HP, SN:1CR9201VRM",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR118*003425,"COMPUTER,MONITOR, HP, SN:3CQ250079K",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",NEW,Active,
TR118*003294,"COMPUTER,MONITOR, HP, SN:3CQ4120CDR",MOI PHASE III,3 floor,DNS,"DNS OFFICE, SECRETARY",FAIR,Active,
TR118*008821,"Computer,Monitor, HP,SN. 3CQ250078P",CONTAINER,FIRST FROOL,DNS,SOCIAL WALFARE,New,Active,
TR118*008048,"Computer,Monitor, HP,SN:3CQ8300V2S",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 5,GOOD,Active,
TR118*008027,"Computer,Monitor, HP,V197,SN:3CQ8300VFJ",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 3,GOOD,Active,
TR118*008034,"Computer,Monitor, HPV, 197,SN:3CQ8300V1Z",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 7,GOOD,Active,
MOI/DISP/EO/0600,"Computer,MONITOR, LENOVO 65A1-AB1",,,,,,Active,
MOI/DISP/EO/0583,"Computer,MONITOR, LENOVO 65A1-AB1",,,,,,Active,
MOI/DISP/EO/0604,"Computer,MONITOR, LENOVO S1922SWD",,,,,,Active,
TR118*006252,"COMPUTER,MONITOR, LENOVO, SN : V9-09NMYT",MOI PHASE III,6 floor,DNS,"LEVEL 6A, NURSING STATION",NEW,Active,
TR118*006088,"COMPUTER,MONITOR, LENOVO, SN : VY525209",MOI PHASE III,5 floor,ICTM,ICT OFFICE II,NEW,Active,
TR118*006085,"COMPUTER,MONITOR,ALL IN ONE,HP,SN-3CM9M730H",MOI PHASE III,5 floor,ICTM,ICT OFFICE II,VERY GOOD,Active,
TR118*007131,"COMPUTER,MONITOR,DELL",PHASE III,BASEMENT,PHARMACY STORE,PHARMACY STORE,GOOD,Active,
TR118*000969,"Computer,Monitor,DELL, SN. CN-OKCCCP-72872-331-E4UM",PHASE I& II,GROUND,ADMN,102,Fair,Active,
TR118*007837,"Computer,Monitor,Dell, SN: CN-0PD0D-72872-42P-AT7M",MOI PHASE III,5 floor,ICTM,SERVER ROOM,GOOD,Active,
TR118*003419,"COMPUTER,MONITOR,DELL, SN:CN-07CXPR-72872-6CU-D7AB-A00",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",VERY GOOD,Active,
TR118*003516,"COMPUTER,MONITOR,DELL, SN:CN-0MMK39-72872-59Q-GPVI-A00",MOI PHASE III,4 floor,DNS,"WARD 4A, CUBIC 1",GOOD,Active,
TR1118*006371,"COMPUTER,MONITOR,DELL,MODEL NO:E16HVI",MOI PHASE III,6 floor,DNS,"LEVEL 6B,NURSING STATION",GOOD,Active,
TR118*003338,"COMPUTER,MONITOR,DELL,SN:0V048Y-64180-35V-1GGB",MOI PHASE III,3 floor,DNS,"CUBIC 2,3B",VERY GOOD,Active,
TR118*003684,"COMPUTER,MONITOR,DELL,SN:CN-00RDRX-72872-639-A24D",MOI PHASE III,4 floor,DNS,"CUBIC 2,WARD 4B",VERY GOOD,Active,
TR118*003153,"COMPUTER,MONITOR,DELL,SN:CN-07CXPR-72872-63O-A0VI-A00",MOI PHASE III,3 floor,DFP,BILLING OFFICE,VERY GOOD,Active,
TR118*006104,"COMPUTER,MONITOR,DELL,SN:CN-07CXPR-72872-6CU-B73B-A00",MOI PHASE III,5 floor,ICTM,ICT MANAGER,GOOD,Active,
TR118*003150,"COMPUTER,MONITOR,DELL,SN:CN-0DFDMY-72872-5AG-SRKU-A00",MOI PHASE III,3 floor,DFP,BILLING OFFICE,VERY GOOD,Active,
TR118*006106,"COMPUTER,MONITOR,DELL,SN:CN-OF3R2K-FCC00-75F-AFVL-A00",MOI PHASE III,5 floor,ICTM,ICT MANAGER,GOOD,Active,
TR118*006178,"COMPUTER,MONITOR,DELL,SN-CN-00RDRX-72872-638-CDMD-A00",MOI PHASE III,5 floor,ICTM,"MAIN OFFICE,LEVEL 16",GOOD,Active,
TR118*GAMIS465,"COMPUTER,MONITOR,DELL19.5TFT ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR1118*006419,"COMPUTER,MONITOR,EIZO, ALL IN ONE, SN : 57987012",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR118*007269,"COMPUTER,MONITOR,HP",PHASE III,GROUND,EMD,EMERGENCY CASHIER,NEW,Active,
TR118*007133,"COMPUTER,MONITOR,HP",PHASE III,BASEMENT,PHARMACY STORE,PHARMACY STORE,GOOD,Active,
TR118*006676,"COMPUTER,MONITOR,HP",PHASE III,BASEMENT,STORE,SUPPLIES UNIT 3,GOOD,Active,
TR118*003407,"COMPUTER,MONITOR,HP, SN :1CR1501WRM",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH,",NEW,Active,
TR118*003297,"COMPUTER,MONITOR,HP, SN: 3CQ2360K7W",MOI PHASE III,3 floor,DNS,"DNS OFFICE, SECRETARY",NEW,Active,
TR118*003420,"COMPUTER,MONITOR,HP, SN:CNK3060RVZ",MOI PHASE III,4 floor,CLINICAL RESEARCH,"CLINICAL RESEARCH, ",NEW,Active,
TR118*008076,"Computer,Monitor,HP, V197,SN:3CQ8300V33",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 4,GOOD,Active,
TR118*006158,"COMPUTER,MONITOR,HP,SN:3CQ1150LNB",MOI PHASE III,5 floor,ICTM,"SERVER ROOM, LEVEL 5",VERY GOOD,Active,
TR118*003761,"COMPUTER,MONITOR,HP,SN:3CQ2090XGX",MOI PHASE III,5 floor,DNS,"WARD 5A,INCHARGE OFFICE",VERY GOOD,Active,
TR118*003031,"COMPUTER,MONITOR,HP,SN:3CQ25005ZN",MOI PHASE III,3 floor,DNS,CUBIC 2,VERY GOOD,Active,
TR118*003148,"COMPUTER,MONITOR,HP,SN:3CQ250078M",MOI PHASE III,3 floor,DFP,BILLING OFFICE,NEW,Active,
TR118*003240,"COMPUTER,MONITOR,HP,SN:3CQ4120CNB",MOI PHASE III,3 floor,DNS,"CUBIC 1,3B",GOOD,Active,
TR118*006121,"COMPUTER,MONITOR,HP,SN:3CQ832117B",MOI PHASE III,5 floor,ICTM,ICT MANAGER,GOOD,Active,
TR118*003147,"COMPUTER,MONITOR,HP,SN:3CQ83808YF",MOI PHASE III,3 floor,DFP,BILLING OFFICE,VERY GOOD,Active,
TR118*006138,"COMPUTER,MONITOR,HP,SN:3CQ94715L3",MOI PHASE III,5 floor,ICTM,"SERVER ROOM, LEVEL 5",VERY GOOD,Active,
TR118*003158,"COMPUTER,MONITOR,HP,SN:6CM4142BXN",MOI PHASE III,3 floor,DFP,BILLING OFFICE,GOOD,Active,
TR118*006105,"COMPUTER,MONITOR,HP,SN:CNC9090158",MOI PHASE III,5 floor,ICTM,ICT MANAGER,GOOD,Active,
TR1118*007797,"COMPUTER,MONITOR,HP,SN:CNK3410PV2",MOI PHASE I,GROUND FLOOR,DCSS,MCP NHIF,NEW,Active,
TR1118*007793,"COMPUTER,MONITOR,HP,SN:CNK3410PV4",MOI PHASE I,GROUND FLOOR,DCSS,MCP NHIF,NEW,Active,
TR1118*007791,"COMPUTER,MONITOR,HP,SN:CNK3410PVC",MOI PHASE III,GROUND FLOOR,DCSS,EMERGENCY MCP,NEW,Active,
TR1118*007789,"COMPUTER,MONITOR,HP,SN:CNK3410PW2",MOI PHASE I,GROUND FLOOR,DCSS,OT PHARMACY,NEW,Active,
TR1118*007795,"COMPUTER,MONITOR,HP,SN:CNK3410PW4",MOI PHASE I,GROUND FLOOR,DCSS,MCP IMPLANT,NEW,Active,
TR1118*007738,"COMPUTER,MONITOR,HP,SN:SNK3410QSR",MOI PHASE III,6 floor,DFP,"LEVEL6,NHIF SUBMISSION OFFICE",NEW,Active,
TR118*005487,"Computer,Monitor,HP,V197,SN: 3CQ8300V2L",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 1,GOOD,Active,
TR118*008108,"Computer,Monitor,HP,V197,SN: 3CQ8300VGF",MOI PHASE I &II,FIRST FLOOR,PYHSIO,PYHSIO,GOOD,Active,
TR118*008012,"Computer,Monitor,HP,V197,SN: 3CQ830203P",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 10,GOOD,Active,
TR118*005499,"Computer,Monitor,HP,V197,SN: 3CQ830204S",MOI PHASE I &II,FIRST FLOOR,PHYSIO,ROOM 12,GOOD,Active,
TR118*005470,"Computer,Monitor,HP,V197,SN:3CQ830203J",MOI PHASE I &II,FIRST FLOOR,PHYSIO,PREMIER 2,GOOD,Active,
TR118*003152,"COMPUTER,MONITOR,LENOVO,ALL IN ONE,SN:1S10F2001KAXPC0AGH60",MOI PHASE III,3 floor,DFP,BILLING OFFICE,VERY GOOD,Active,
TR118*006186,"COMPUTER,MONITOR,LENOVO,SN:1S62B9MAR4WLVY523902",MOI PHASE III,5 floor,ICTM,"MAIN OFFICE,LEVEL 5",GOOD,Active,
TR118*006181,"COMPUTER,MONITOR,LENOVO,SN:1S62B9MAR4WLVY524281",MOI PHASE III,5 floor,ICTM,"MAIN OFFICE,LEVEL 19",GOOD,Active,
TR118*003000,"COMPUTER,MONITOR,LENOVO,SN:4ML1253E25N0748",MOI PHASE III,3 floor,DNS,CUBIC 1,VERY GOOD,Active,
TR118*007821,"Computer,Server, HPE ProLiant DL380 Gen11 P67693-005 SN: CZ242001XW",PHASE III,5 FLOOR,ICTM,SERVER ROOM,NEW,Active,
TR118*007820,"Computer,Server, HPE ProLiant DL380 Gen11 P67693-005 SN: CZ242001XX",PHASE III,5 FLOOR,ICTM,SERVER ROOM,NEW,Active,
TR118*000994,"Computer. Monitor, DELL, SN. CN-OT9Y04",PHASE I& II,GROUND,DFP,105,Fair,Active,
TR118*005827,"Computor, CPU, DELL, SN 216M8F2",PHASE I& II,GROUND,DCSS,OPERATING VI,Good,Active,
TR118*005623,"Computor, CPU, HP, SN CZC51615HH",PHASE I& II,GROUND,DCSS,Holding Area,V.Good,Active,
TR118*005621,"Computor, Monitor & CPU, HP, SN CN4504030C",PHASE I& II,GROUND,DCSS,Holding Area,V.Good,Active,
TR118*005622,"Computor, Monitor, Lenovo, SN PCOAGHGA",PHASE I& II,GROUND,DCSS,Holding Area,V.Good,Active,
TR118*006856,"CPU , FUJITSU",PHASE III,GROUND,RADIOLOGY,MRI 2 CONTROL ROOM,GOOD,Active,
TR118*000193,"CPU,HP,400 G6 MT Intel Core i7 ,SN: CZC0049WJ1",MOI PHASE I &II,FIRST FLOOR,PROCUREMENT UNIT,239 PROCUREMENT MNGT UNIT,GOOD,Active,
TR118*002088,"CUMPUTER ,MONITOR,HP ",PHASE III,2 FLOOR,PHARMACY,INCHARGE OFFICE,GOOD,Active,
TR118*GAMIS1,DEL OPTIPLEX 9020 4GB HDD 1TB CORE 15,MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS278,ELECTRONIC SIGNATURE DEVICE -ESD,MOI PHASE I &II,FIRST FLOOR,DAHRM,275 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*GAMIS279,ELECTRONIC SIGNATURE DEVICE -ESD,MOI PHASE I &II,FIRST FLOOR,DAHRM,275 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*007828,"FIREWALL, SOPHOS XG 310,SN: C32078VGYDD29B1",MOI PHASE III,5 floor,ICTM,ICTM,FAIR,Active,
TR118*GAMIS201,HARD DISK Hp 1.92tb 12gb/s 2.5 Inch Sff Sas Read Intensive (Ri) (Ds) Ssd Hot Plug Smartdrive Carrier(Sc),MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS202,"HARD DISK, Hp 1.92tb 12gb/s 2.5 Inch Sff Sas Read Intensive (Ri) (Ds) Ssd Hot Plug Smartdrive Carrier(Sc)",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS203,"HARD DISK, Hp 1.92tb 12gb/s 2.5 Inch Sff Sas Read Intensive (Ri) (Ds) Ssd Hot Plug Smartdrive Carrier(Sc)",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS204,"HARD DISK, Hp 1.92tb 12gb/s 2.5 Inch Sff Sas Read Intensive (Ri) (Ds) Ssd Hot Plug Smartdrive Carrier(Sc)",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS205,"HARD DISK, Hp 1.92tb 12gb/s 2.5 Inch Sff Sas Read Intensive (Ri) (Ds) Ssd Hot Plug Smartdrive Carrier(Sc)",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS206,"HARD DISK, Hp 1.92tb 12gb/s 2.5 Inch Sff Sas Read Intensive (Ri) (Ds) Ssd Hot Plug Smartdrive Carrier(Sc)",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS207,"HARD DISK, Hp 1.92tb 12gb/s 2.5 Inch Sff Sas Read Intensive (Ri) (Ds) Ssd Hot Plug Smartdrive Carrier(Sc)",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS208,"HARD DISK, Hp 1.92tb 12gb/s 2.5 Inch Sff Sas Read Intensive (Ri) (Ds) Ssd Hot Plug Smartdrive Carrier(Sc)",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS209,"HARD DISK, HPE 1.2 TB SAS 12G 10K SFF SC HDD 5TB TOTAL",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS210,"HARD DISK, HPE 1.2 TB SAS 12G 10K SFF SC HDD 5TB TOTAL",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS211,"HARD DISK, INTERNAL 500GB (SATA)",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS212,"HARD DISK, INTERNAL 500GB (SATA)",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS213,"HARD DISK, INTERNAL 500GB (SATA)",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS286,HP DESKJET 2130 ALL - IN - ONE PRINTER,MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS492,LAPTOP INTEL CORE 15-42104 WITH INTEL HD GRAPHICS,MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,NEW,Active,
TR118*GAMIS155,"LAPTOP, 15 RAM 4GB HARD DISK 500GB",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*000545,"Laptop, HP Envy x360 15t-ed100, core i7, SN: ",MOI PHASE I &II,FIRST FLOOR,DFP,HOE,FAIR,Active,
TR118*GAMIS124,"LAPTOP, HP LAPTOP(ELITEBOOK 840,INTERCORE I7 2.5 GHZ RAM 12GB,HDD 1TB,",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS118,"Laptop, Laptop CORE i7 HDD ITB 4GB RAM CPU 2,3GHZ ORMORE",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*003856,"LAPTOP,DELL,SN :4NPZYN2",MOI PHASE III,5 floor,DNS,"WARD 5A, CUBIC 2",GOOD,Active,
TR118*GAMIS484,"LENOVO ALL  IN ONE THINK CENTRE 15 8gb, 1tb,ssd with win 11 pro",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,NEW,Active,
TR118*GAMIS485,"LENOVO ALL  IN ONE THINK CENTRE 15 8gb, 1tb,ssd with win 11 pro",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,NEW,Active,
TR118*GAMIS486,"LENOVO ALL  IN ONE THINK CENTRE 15 8gb, 1tb,ssd with win 11 pro",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,NEW,Active,
TR118*GAMIS487,"LENOVO ALL  IN ONE THINK CENTRE 15 8gb, 1tb,ssd with win 11 pro",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,NEW,Active,
TR118*GAMIS488,"LENOVO ALL  IN ONE THINK CENTRE 15 8gb, 1tb,ssd with win 11 pro",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,NEW,Active,
TR118*GAMIS494,"lenovo all in  one think centre I5 8gb,1tb ssdwith win 11 pro",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,NEW,Active,
TR118*GAMIS495,"lenovo all in  one think centre I5 8gb,1tb ssdwith win 11 pro",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,NEW,Active,
TR118*GAMIS496,"lenovo all in  one think centre I5 8gb,1tb ssdwith win 11 pro",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,NEW,Active,
TR118*GAMIS497,"lenovo all in  one think centre I5 8gb,1tb ssdwith win 11 pro",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,NEW,Active,
TR118*GAMIS493,"LENOVO ALL IN ONE THINK CENTRE 15 8GB, 1TB Ssd with win 11 pro",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,NEW,Active,
TR118*000603,"Machine, Photocopier, Canon Imagerunner 2224, SN: (21)213QSO2147",MOI PHASE I &II,FIRST FLOOR,DAHRM,255 HR TRAINING AND ADMINSTR,GOOD,Active,
TR118*000883,"Machine, Photocopier, Canon Imagerunner 2425, SN: (21) 28H11079",MOI PHASE I &II,FIRST FLOOR,DAHRAM,214: DAHRM OFFICE,NEW,Active,
TR118*000154,"Machine, Photocopier,Canon Imagerunner 2425, SN: (21) 28H21481",MOI PHASE I &II,FIRST FLOOR,HR,240 DOCROR'S SECRETARY,NEW,Active,
TR118*GAMIS297,"MACHINE,BIOMETRIC TIME ATTENDANCE",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*007447,"MACHINE,PHOTOCOPIER, Canon Image RUNNER 2520",PHASE III,GROUND,EMD,MOI CLIENT LOUNGE,GOOD,Active,
TR118*0066786,"MACHINE,PHOTOCOPIER,CANON,IMAGE RUNNER 2425",PHASE III,BASEMENT,STORE,SUPPLIES UNIT/GENERAL STORE,GOOD ,Active,
TR118*003271,"MACHINE,PHOTOCOPY,CANON,SN:YDX30428",MOI PHASE III,3 floor,DNS,DNS OFFICE,GOOD,Active,
TR118*006627,MONITOR (CONTROL CONSOLE),PHASE III,GROUND,RADIOLOGY,CT SCAN ROOM 2,GOOD,Active,
TR118*006529,MONITOR (CONTROL CONSOLE),PHASE III,GROUND,RADIOLOGY,MRI 2 CONTROL ROOM,GOOD,Active,
TR118*006527,MONITOR syngo(CONTROL CONSOLE),PHASE III,GROUND,RADIOLOGY,MRI 2 CONTROL ROOM,GOOD,Active,
TR118*006528,MONITOR syngo(CONTROL CONSOLE),PHASE III,GROUND,RADIOLOGY,MRI 2 CONTROL ROOM,GOOD,Active,
TR118*006426,"MONITOR, DELL, SN: CN-OPD06D-72872-42C-D5VM",MOI PHASE III,7 floor ,DCSS,"LEVEL7,RADIOLOGISTS OFFICE",VERY GOOD,Active,
TR118*GAMIS228,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS229,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS230,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS231,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS232,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS233,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS234,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS235,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS236,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS237,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS238,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS239,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS240,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS241,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS242,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS243,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS244,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS245,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS246,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS247,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS248,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS249,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS250,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS251,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS252,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS253,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS254,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS255,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS256,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS257,"PAD,DIGITAL SIGNATURE ",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS11,PC AND NETWORK MAINTENANCE TOOLKIT IN ASB 5' TOOL,MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS310,"POWER SUPPLY ,FOR DESKTOP  - 275W-100-240V",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS311,POWER SUPPLY FOR  C-ARM -PCB B335 11,MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS312,"POWER SUPPLY, SWITCHING POWER SUPPLY DELL 3010",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
TR118*GAMIS313,"POWER SUPPLY, SWITCHING POWER SUPPLY DELL 3020",MOI PHASE I &II,FIRST FLOOR,DAHRM,DAHRM OFFICE,GOOD,Active,
